well,reporter,label,replicate,P22A,label_order
B2,pTBHS12,GAPDH GACACC stop before uORF2,1,no,2
B4,pTBHS13,GAPDH GACACC stop before uORF2,1,yes,2
B6,pTBHS23,GAPDH no start stop before uORF2,1,no,1
B8,pTBHS24,GAPDH no start stop before uORF2,1,yes,1
B10,pTBHS58,GAPDH GACACC 2 eYFP codons longer,1,no,4
B12,mock,mock,1,,
C2,pTBHS59,GAPDH GACACC 2 eYFP codons longer,1,yes,4
C4,pTBHS60,GAPDH no AUG 2 eYFP codons longer,1,no,3
C6,pTBHS61,GAPDH no AUG 2 eYFP codons longer,1,yes,3
C8,pTBHS12,GAPDH GACACC stop before uORF2,2,no,2
C10,pTBHS13,GAPDH GACACC stop before uORF2,2,yes,2
D2,pTBHS23,GAPDH no start stop before uORF2,2,no,1
D4,pTBHS24,GAPDH no start stop before uORF2,2,yes,1
D6,pTBHS58,GAPDH GACACC 2 eYFP codons longer,2,no,4
D8,pTBHS59,GAPDH GACACC 2 eYFP codons longer,2,yes,4
D10,pTBHS60,GAPDH no AUG 2 eYFP codons longer,2,no,3
E2,pTBHS61,GAPDH no AUG 2 eYFP codons longer,2,yes,3
E4,pTBHS12,GAPDH GACACC stop before uORF2,3,no,2
E6,pTBHS13,GAPDH GACACC stop before uORF2,3,yes,2
E8,pTBHS23,GAPDH no start stop before uORF2,3,no,1
E10,pTBHS24,GAPDH no start stop before uORF2,3,yes,1
F2,pTBHS58,GAPDH GACACC 2 eYFP codons longer,3,no,4
F4,pTBHS59,GAPDH GACACC 2 eYFP codons longer,3,yes,4
F6,pTBHS60,GAPDH no AUG 2 eYFP codons longer,3,no,3
F8,pTBHS61,GAPDH no AUG 2 eYFP codons longer,3,yes,3
F10,pTBHS2,gp48UTR-no-AUG,1,,
G2,pTBHS3,gp48UTR-stronger-start,1,,
G4,pTBHS2,gp48UTR-no-AUG,2,,
G6,pTBHS3,gp48UTR-stronger-start,2,,
G8,pTBHS2,gp48UTR-no-AUG,3,,
G10,pTBHS3,gp48UTR-stronger-start,3,,
G12,mock,mock,2,,
